SMILES,T_g (K)
C=CC(=O)Nc1ccccc1-c1nncn1C,372.6827517470072
C=CC(=O)NCCCl,254.26951268896
C=CC(=O)N1C[C@@H]2CN(Cc3cccnc3)C[C@@H]2C1,370.1716595564961
C=C(C)C(=O)Nc1cccc(F)c1,288.4486559231449
C=CC(=O)Nc1cccc(Br)c1COC,282.1954081160593
C=C(C)C(N)=O,327.367220869853
C#CCN1CCN(C(=O)C=C)CC1=O,331.41836978646984
C=C(C)C(=O)NCc1csc(C)n1,285.30832067191056
C=CC(=O)N1CCCC(c2cc(Nc3nc(C)cc(C)n3)nc(C)n2)C1,399.839186713392
C=CC(=O)NC(C)C,243.91012600158348
C=CC(=O)Nc1ccccc1CNC(=O)c1ccc(OC(=O)OCC)cc1,350.84139104644885
C=CC(=O)N1CCCc2ccccc21,325.6726385910605
C=CC(=O)NCc1cnc(C)cc1C,335.73044855374405
C=C(C)C(=O)N1CCn2cc(C(=O)NCCc3ccccc3)nc2C1c1ccccc1,380.8572538252139
C=C(C)C(=O)OCCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1cccc(Cl)c1,372.97802650788
C=C(C)C(=O)OCC(F)(F)F,212.81325127301423
C=C(C)C(=O)OC(c1ccccc1)(c1ccccc1)c1ccccc1,372.8303097447803
C=CC(=O)Nc1ccc(C(=O)NC(C)c2ccc(-c3ccccc3)cc2)cc1,388.3878056962096
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,298.5448586934059
C=CC(=O)NC1CCN(c2nnc3ccccn23)CC1,394.2776796241277
C=CC(=O)OCC(CC)(CO)CO,290.15471378058123
C=C(C)C(=O)NCCCNCc1c2ccccc2c(CNCCC(=O)OC(C)(C)C)c2ccccc12,380.0006290975225
C=CC(=O)N1CCN(c2cnccn2)CC1,341.05558493373974
C=CC(=O)N(C)CC(=O)NC(C)CN(C)C(=O)OC(C)(C)C,397.79442375898975
C=CC(=O)NCC=C(C)C,254.59463593964105
C=CC(=O)N1CCC[C@H]1C(=O)OC,307.95557603398254
C=CC(=O)NCC1CCCCC1C,282.8058942446113
C=C(C)C(=O)Nc1cccc2c(S(=O)(=O)Cl)cccc12,386.6726134850064
C=C(C)C(=O)N1CCN(c2nc3ccc(CC)cc3s2)CC1,356.87113216099453
C=CC(=O)N1CCn2cc(C(=O)NCCc3ccccc3)nc2C1c1ccccc1,349.97892253391285
C=CC(=O)Oc1cccc(Br)c1,250.63955288436657
C=CCNC(=O)C=C,236.3041486233741
C=CC(=O)N1CCNCC1C(=O)N(C)C,376.8198111777722
C=CC(N)=O,337.5838422475829
C=CC(=O)OCc1ccccc1,242.8876892426557
C=CC(=O)N1CCCCC1CCNC,296.7707365325176
C=C(C)C(=O)OCC[C@@H](C)OC,227.4763796275775
C=CC(=O)NCO,353.46161795417424
C=C(C)C(=O)Oc1ccc(Cc2ccccc2)cc1,277.4620698156215
C=CC(=O)OCC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,260.27801529525334
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,346.6490001474426
C=CC(=O)NCCCc1nc(C)no1,306.09563474978563
C=CC(=O)NCc1ccc(NC(=O)CCNC(=O)OC(C)(C)C)cc1,403.82977167412577
C=CN1CCCCCC1=O,262.6616140568744
C=CC(=O)NCCN(Cc1ccccc1)c1nccc(C)n1,389.825074608304
C=CC(=O)OCCC,214.76892024248127
C=CC(=O)Nc1ccc(-n2cnnn2)cc1,365.03828805731735
C=CC(=O)OC12C[C@H]3C[C@H](CC(O)(C3)C1)C2,321.74054696489463
C=CC(=O)N(C)CC(=O)N(C)C1CCCCC1,337.2330790103204
C=CC(=O)NCCC(=O)N1CC[C@H]2CN(C(=O)OC(C)(C)C)C[C@H]21,384.9134818397738
C=C(C)C(=O)N(CCCC)CCCC,256.24262397640365
C=CC(=O)N1CCc2nc3cc(C4CCCCN4C(=O)C(C)C)[nH]n3c(=O)c2C1,304.01095071937016
C=CC(=O)NCc1cccc(F)c1,290.90877268244196
C=CC(=O)Nc1ncc(C(=O)O)s1,373.3131794178902
