regime,seed,fold,cutoff,test_local_index,max_tanimoto_to_train,regime_label
stratified,43,0,,24,0.5,cluster_cnan
stratified,43,0,,26,0.4666666666666667,cluster_cnan
stratified,43,0,,29,0.6122448979591837,cluster_cnan
stratified,43,0,,31,0.4871794871794871,cluster_cnan
stratified,43,0,,32,0.4791666666666667,cluster_cnan
stratified,43,0,,33,0.3829787234042553,cluster_cnan
stratified,43,0,,39,0.3,cluster_cnan
stratified,43,0,,40,0.5,cluster_cnan
stratified,43,0,,41,0.6,cluster_cnan
stratified,43,0,,47,0.3829787234042553,cluster_cnan
stratified,43,0,,54,0.3658536585365853,cluster_cnan
stratified,43,0,,62,0.6785714285714286,cluster_cnan
stratified,43,0,,65,0.6785714285714286,cluster_cnan
stratified,43,0,,70,0.3478260869565217,cluster_cnan
stratified,43,0,,72,0.5,cluster_cnan
stratified,43,0,,78,0.6486486486486487,cluster_cnan
stratified,43,0,,90,0.4594594594594595,cluster_cnan
stratified,43,0,,92,0.5128205128205128,cluster_cnan
stratified,43,0,,95,0.4489795918367347,cluster_cnan
stratified,43,0,,97,0.5428571428571428,cluster_cnan
stratified,43,0,,98,0.5116279069767442,cluster_cnan
stratified,43,0,,104,0.5116279069767442,cluster_cnan
stratified,43,0,,111,0.5789473684210527,cluster_cnan
stratified,43,0,,128,0.3870967741935484,cluster_cnan
stratified,43,0,,130,0.4102564102564102,cluster_cnan
stratified,43,0,,134,0.4318181818181818,cluster_cnan
stratified,43,0,,140,0.5454545454545454,cluster_cnan
stratified,43,0,,146,0.7254901960784313,cluster_cnan
stratified,43,0,,148,0.6578947368421053,cluster_cnan
stratified,43,0,,165,0.5,cluster_cnan
stratified,43,0,,169,0.4782608695652174,cluster_cnan
stratified,43,0,,175,0.5098039215686274,cluster_cnan
stratified,43,0,,177,0.4,cluster_cnan
stratified,43,0,,180,0.3939393939393939,cluster_cnan
stratified,43,0,,181,0.6,cluster_cnan
stratified,43,0,,203,0.4615384615384615,cluster_cnan
stratified,43,0,,211,0.2474226804123711,cluster_cnan
stratified,43,0,,223,0.5833333333333334,cluster_cnan
stratified,43,0,,233,0.5263157894736842,cluster_cnan
stratified,43,0,,235,0.5263157894736842,cluster_cnan
stratified,43,0,,238,0.6521739130434783,cluster_cnan
stratified,43,0,,241,0.4102564102564102,cluster_cnan
stratified,43,0,,242,0.4262295081967213,cluster_cnan
stratified,43,0,,247,0.5192307692307693,cluster_cnan
stratified,43,0,,250,0.4090909090909091,cluster_cnan
stratified,43,0,,253,0.7346938775510204,cluster_cnan
stratified,43,0,,259,0.3442622950819672,cluster_cnan
stratified,43,0,,260,0.4509803921568627,cluster_cnan
stratified,43,0,,265,0.425,cluster_cnan
stratified,43,0,,266,0.4761904761904761,cluster_cnan
stratified,43,0,,273,0.5142857142857142,cluster_cnan
stratified,43,0,,283,0.3157894736842105,cluster_cnan
stratified,43,0,,285,0.6785714285714286,cluster_cnan
stratified,43,0,,290,0.44,cluster_cnan
stratified,43,0,,300,0.5263157894736842,cluster_cnan
stratified,43,0,,303,0.5272727272727272,cluster_cnan
stratified,43,0,,304,0.4571428571428571,cluster_cnan
stratified,43,0,,306,0.6136363636363636,cluster_cnan
stratified,43,0,,308,0.2962962962962963,cluster_cnan
stratified,43,0,,312,0.75,cluster_cnan
stratified,43,0,,314,0.4736842105263157,cluster_cnan
stratified,43,0,,321,0.5217391304347826,cluster_cnan
stratified,43,0,,334,0.4285714285714285,cluster_cnan
stratified,43,0,,336,0.4814814814814814,cluster_cnan
stratified,43,0,,337,0.6486486486486487,cluster_cnan
stratified,43,0,,341,0.4074074074074074,cluster_cnan
stratified,43,0,,351,0.5714285714285714,cluster_cnan
stratified,43,0,,352,0.3947368421052631,cluster_cnan
stratified,43,0,,357,0.4054054054054054,cluster_cnan
stratified,43,0,,363,0.5,cluster_cnan
stratified,43,0,,364,0.4411764705882353,cluster_cnan
stratified,43,0,,376,0.12,cluster_cnan
stratified,43,0,,380,0.4705882352941176,cluster_cnan
stratified,43,0,,394,0.5882352941176471,cluster_cnan
stratified,43,0,,398,0.4545454545454545,cluster_cnan
stratified,43,0,,405,0.6206896551724138,cluster_cnan
stratified,43,0,,408,0.6129032258064516,cluster_cnan
stratified,43,1,,0,0.5454545454545454,cluster_cnan
stratified,43,1,,5,0.3888888888888889,cluster_cnan
stratified,43,1,,18,0.6285714285714286,cluster_cnan
stratified,43,1,,19,0.5882352941176471,cluster_cnan
stratified,43,1,,22,0.5208333333333334,cluster_cnan
stratified,43,1,,28,0.6486486486486487,cluster_cnan
stratified,43,1,,35,0.5294117647058824,cluster_cnan
stratified,43,1,,37,0.5588235294117647,cluster_cnan
stratified,43,1,,38,0.6857142857142857,cluster_cnan
stratified,43,1,,42,0.3958333333333333,cluster_cnan
stratified,43,1,,46,0.6774193548387096,cluster_cnan
stratified,43,1,,60,0.5098039215686274,cluster_cnan
stratified,43,1,,66,0.4102564102564102,cluster_cnan
stratified,43,1,,68,0.6785714285714286,cluster_cnan
stratified,43,1,,75,0.4259259259259259,cluster_cnan
stratified,43,1,,76,0.4545454545454545,cluster_cnan
stratified,43,1,,77,0.38,cluster_cnan
stratified,43,1,,81,0.44,cluster_cnan
stratified,43,1,,83,0.3518518518518518,cluster_cnan
